participant,compound_position,pulse_amplitude,biceps_auc
1,1,0.0,0.009122639907234543
1,1,4.0,0.00997028388996505
1,1,8.0,0.009086410607266658
1,1,12.0,0.007809545615717287
1,1,16.0,0.007906736978736851
1,1,20.0,0.004162405875558471
1,1,24.0,0.008885094399637465
1,1,28.0,0.010578071579856803
1,1,32.0,0.009098756792959954
1,1,36.0,0.005018947118836126
1,1,40.0,0.007580049322505854
1,1,44.0,0.005983628038355273
1,1,48.0,0.007871960643045604
1,1,52.0,0.003199857468310121
1,1,56.0,0.008003176407858102
1,1,60.0,0.012476120902976976
1,1,64.0,0.007547715434363786
1,1,68.0,0.00406053547180081
1,1,72.0,0.0031394894820538
1,1,76.0,0.008714676402670015
1,1,80.0,0.012092335121092363
1,1,84.0,0.005692294252668835
1,1,88.0,0.007635830912272642
1,1,92.0,0.007149717582649431
1,1,96.0,0.007660063869482176
1,1,100.0,0.005145941556966941
1,1,104.0,0.009011695884751657
1,1,108.0,0.007060021723306721
1,1,112.0,0.009110496954492248
1,1,116.0,0.0049966082398764525
1,1,120.0,0.005538482466568007
1,1,124.0,0.013916059066250784
1,1,128.0,0.00399924827713496
1,1,132.0,0.017263906876707633
1,1,136.0,0.02534360273224685
1,1,140.0,0.026105816407091982
1,1,144.0,0.05647656473226411
1,1,148.0,0.07762561517711974
1,1,152.0,0.060116440908650814
1,1,156.0,0.1162676294417498
1,1,160.0,0.04577626146101537
1,1,164.0,0.10842412393489512
1,1,168.0,0.04881358530651931
1,1,172.0,0.15579047986715194
1,1,176.0,0.10684867075598782
1,1,180.0,0.15469258109306208
1,1,184.0,0.11867916452916705
1,1,188.0,0.09443038446677983
1,1,192.0,0.20676858442934504
1,1,196.0,0.18810934777121185
1,1,200.0,0.36186493979013395
1,1,204.0,0.10710827239794712
1,1,208.0,0.03135395154789232
1,1,212.0,0.21160177336979016
1,1,216.0,0.2276835990584756
1,1,220.0,0.13737415487102256
1,1,224.0,0.3762035855640335
1,1,228.0,0.3209987552877254
1,1,232.0,0.16141456436022955
1,1,236.0,0.1894879648486351
1,1,240.0,0.20703093889725238
1,1,244.0,0.28538373376972925
1,1,248.0,0.11074594922973176
1,1,252.0,0.26653126756572454
1,1,256.0,0.2872428245750719
1,1,260.0,0.2652475797139984
1,1,264.0,0.21937159633074854
1,1,268.0,0.25299796960257526
1,1,272.0,0.20732244959654855
1,1,276.0,0.2747376852825621
1,1,280.0,0.3732784504546104
1,1,284.0,0.32195965665682674
1,1,288.0,0.29630720345844896
1,1,292.0,0.3946172453813844
1,1,296.0,0.28359229619224846
1,1,300.0,0.3337365831646226
1,1,304.0,0.37392514473783456
1,1,308.0,0.5462613703580357
1,1,312.0,0.42725739688782094
1,1,316.0,0.33958636322325414
1,1,320.0,0.47216742641920456
1,1,324.0,0.4693703560032765
1,1,328.0,0.18520299498257467
1,1,332.0,0.3103373583764047
1,1,336.0,0.2944875049041037
1,1,340.0,0.5901308029691968
1,1,344.0,0.24628216800163943
1,1,348.0,0.2306030413875921
1,1,352.0,0.400641851898133
1,1,356.0,0.17984203141880956
1,2,0.0,0.04633778680958299
1,2,4.0,0.044005072991373045
1,2,8.0,0.03702186458229403
1,2,12.0,0.049209692128581714
1,2,16.0,0.04056587347652885
1,2,20.0,0.03977896002075915
1,2,24.0,0.0328958334168627
1,2,28.0,0.05087671016749868
1,2,32.0,0.041337159871550455
1,2,36.0,0.04212178229699343
1,2,40.0,0.03907425876159051
1,2,44.0,0.047441531778846344
1,2,48.0,0.04019370834695753
1,2,52.0,0.04200203798711167
1,2,56.0,0.035882603093230415
1,2,60.0,0.053608275531237745
1,2,64.0,0.0403140739870352
1,2,68.0,0.055711084132559506
1,2,72.0,0.04306257979018749
1,2,76.0,0.03450466777531822
1,2,80.0,0.04319272171075854
1,2,84.0,0.046895110156257046
1,2,88.0,0.035761091971048944
1,2,92.0,0.0399518743056465
1,2,96.0,0.04399854584467214
1,2,100.0,0.04561870431054175
1,2,104.0,0.039069307382649965
1,2,108.0,0.04339835941244564
1,2,112.0,0.042901695161172086
1,2,116.0,0.03728861687599086
1,2,120.0,0.04224188170207668
1,2,124.0,0.04505665621703165
1,2,128.0,0.03803124473534101
1,2,132.0,0.04110429686982545
1,2,136.0,0.04119479764489923
1,2,140.0,0.09014179499959901
